1,SRA Run Accession,Isolate ID,Sample ID,Genus,sensu,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,WGS Acession,Phylogroup,State,fosX,lin,mprF,norB,sul,lmo0209,mogR,lmo0675,fliP,fliQ,fliR,flhB,flhA,flhF,flgG,motA,motB,lmo0688,flaA,fliN_lmo0693,lmo0696,flgE,fliN_lmo0698,fliM,fliY,flgK,flgL,fliD,lmo0708,flgB,flgC,fliE,fliF,fliG,fliH,fliI,comK,comEC,comG,comGF,comGD,comGA,cinA,comEB,comEA,coiA,comFC,comFA
146,SRR10019208,L7-0463,AL-CSP-4,Listeria,strictu,L. monocytogenes,202,14,2884086,37.86,420703,38.208,PRJNA561882,VTJD00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,SRR10019209,L7-0466,AL-CSP-4,Listeria,strictu,L. monocytogenes,57,18,2916942,37.79,518412,38.6704,PRJNA561882,VTJC00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,SRR10019210,L7-0471,AL-CSP-5,Listeria,strictu,L. monocytogenes,57,15,2905635,37.84,571054,47.8342,PRJNA561882,VTJB00000000,L2,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,SRR11344101,L7-0478,AL-CSP-5,Listeria,strictu,L. cossartiae,225,10,2750589,38.88,1409620,40.9327,PRJNA561882,JAASWP000000000,L5,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
150,SRR10019211,L7-0479,DE-WC-1,Listeria,strictu,L. monocytogenes,57,17,2993237,37.75,547834,34.4917,PRJNA561882,VTJA00000000,L2,DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,SRR11344100,L7-0480,DE-WC-1,Listeria,strictu,L. welshimeri,226,38,2836583,36.13,198179,50.224,PRJNA561882,JAASWO000000000,L8,DE,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
152,SRR11344099,L7-0481,DE-WC-2,Listeria,strictu,L. welshimeri,27,17,2813207,36.21,521694,39.226,PRJNA561882,JAASWN000000000,L8,DE,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0
153,SRR11344098,L7-0486,DE-WC-2,Listeria,strictu,L. welshimeri,21,36,2839016,36.1,182179,63.8995,PRJNA561882,JAASWM000000000,L8,DE,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
154,SRR10019212,L7-0487,DE-WC-3,Listeria,strictu,L. monocytogenes,59,15,2939178,37.78,559830,32.2504,PRJNA561882,VTIZ00000000,L2,DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,SRR11344255,L7-0489,DE-WC-3,Listeria,strictu,L. welshimeri,17,45,2841165,36.22,117865,42.2268,PRJNA561882,JAASWL000000000,L8,DE,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
156,SRR11344158,L7-0493,DE-WC-5,Listeria,strictu,L. welshimeri,17,43,2841552,36.22,135292,41.4905,PRJNA561882,JAASWK000000000,L8,DE,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
157,SRR9845432,L7-0495,CA-NM-3,Listeria,strictu,L. monocytogenes,227,60,3097343,37.61,101660,161.327,PRJNA514286,AAJADM000000000,L2,CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,SRR11344157,L7-0503,PA-BE-1,Listeria,strictu,L. marthii,228,14,2801187,38.7,527603,38.6439,PRJNA561882,JAASWJ000000000,L4,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
159,SRR11344156,L7-0504,PA-BE-1,Listeria,strictu,L. marthii,229,16,2729829,38.76,482141,75.6558,PRJNA561882,JAASWI000000000,L4,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
160,SRR11344155,L7-0509,PA-BE-2,Listeria,lato,L. booriae,S5036,47,3486412,42.04,278040,134.425,PRJNA561882,JAARWU000000000,L12,PA,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
161,SRR11344154,L7-0510,PA-BE-2,Listeria,lato,L. booriae,S5037,32,3493443,41.99,345859,47.3118,PRJNA561882,JAASWH000000000,L12,PA,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
162,SRR11344153,L7-0514,PA-BE-2,Listeria,lato,L. booriae,S5033,13,3429465,42.03,639244,197.771,PRJNA561882,JAARWT000000000,L12,PA,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
163,SRR11344152,L7-0515,PA-BE-3,Listeria,strictu,L. marthii,230,13,2695057,38.77,463037,36.4076,PRJNA561882,JAASWG000000000,L4,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
164,SRR11344151,L7-0519,PA-BE-3,Listeria,lato,L. booriae,S5038,29,3502926,42.07,262525,84.8207,PRJNA561882,JAARWS000000000,L12,PA,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
165,SRR11344150,L7-0520,PA-BE-3,Listeria,lato,L. booriae,S5036,45,3488953,42.05,313930,97.6527,PRJNA561882,JAASWF000000000,L12,PA,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
166,SRR10019213,L7-0521,PA-BE-4,Listeria,strictu,L. monocytogenes,57,27,2900052,37.83,503409,36.8709,PRJNA561882,VTIY00000000,L2,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,SRR11344148,L7-0523,PA-BE-4,Listeria,strictu,L. marthii,231,13,2733056,38.73,471819,31.5225,PRJNA561882,JAASWE000000000,L4,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
168,SRR11344147,L7-0527,PA-BE-4,Listeria,lato,L. booriae,S5018,16,3527062,42.0,547019,40.0926,PRJNA561882,JAASWD000000000,L12,PA,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
169,SRR11344146,L7-0529,PA-BE-5,Listeria,strictu,L. marthii,168,14,2770352,38.61,481057,68.5587,PRJNA561882,JAASWC000000000,L4,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
170,SRR11344145,L7-0530,PA-BE-5,Listeria,strictu,L. marthii,232,18,2748682,38.67,479273,56.1201,PRJNA561882,JAASWB000000000,L4,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
171,SRR10019215,L7-0535,PA-SGL-1,Listeria,strictu,L. monocytogenes,79,25,3219170,37.56,488033,35.8653,PRJNA561882,VTIX00000000,L1,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,SRR10019216,L7-0543,PA-SGL-2,Listeria,strictu,L. monocytogenes,57,15,2867680,37.91,522850,41.2132,PRJNA561882,VTIW00000000,L2,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,SRR11344144,L7-0545,PA-SGL-2,Listeria,strictu,L. welshimeri,19,20,2716866,36.26,387298,44.6255,PRJNA561882,JAASWA000000000,L8,PA,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
174,SRR10019217,L7-0546,PA-SGL-2,Listeria,strictu,L. monocytogenes,62,14,2886323,38.06,559576,60.8833,PRJNA561882,VTIV00000000,L1,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,SRR10019218,L7-0551,PA-SGL-3,Listeria,strictu,L. monocytogenes,62,15,2886521,38.05,510838,44.5421,PRJNA561882,VTIU00000000,L1,PA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,SRR11344143,L7-0559,NY-TS-1,Listeria,strictu,L. seeligeri,4,13,2809262,37.2,465151,49.5377,PRJNA561882,JAASVZ000000000,L10,NY,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
177,SRR11344142,L7-0567,NY-TS-3,Listeria,strictu,L. seeligeri,3,16,2887085,37.25,528333,59.2157,PRJNA561882,JAASVY000000000,L10,NY,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
178,SRR11344141,L7-0573,NY-TS-4,Listeria,strictu,L. seeligeri,4,15,2807980,37.2,309949,43.1819,PRJNA561882,JAARWR000000000,L10,NY,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
179,SRR11344140,L7-0579,NY-TS-5,Listeria,strictu,L. seeligeri,4,16,2809212,37.2,424512,39.8949,PRJNA561882,JAASVX000000000,L10,NY,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
180,SRR11344139,L7-0580,NY-TS-5,Listeria,strictu,L. seeligeri,1,43,2899413,37.16,117978,30.6874,PRJNA561882,JAASVW000000000,L10,NY,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
181,SRR11344137,L7-0586,NY-TS-5,Listeria,strictu,L. seeligeri,3,18,2886211,37.22,478952,50.1254,PRJNA561882,JAASVV000000000,L10,NY,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
182,SRR11344136,L7-0587,MD-SERC-1,Listeria,lato,L. booriae,S5039,20,3521507,41.9,587058,152.214,PRJNA561882,JAARWQ000000000,L12,MD,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
183,SRR10019256,L7-0593,MD-SERC-2,Listeria,strictu,L. monocytogenes,233,20,2903023,38.02,241857,54.1623,PRJNA561882,VTIT00000000,L1,MD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
184,SRR10019255,L7-0594,MD-SERC-2,Listeria,strictu,L. monocytogenes,61,35,2982942,37.84,354847,66.0735,PRJNA561882,VTIS00000000,L3,MD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,SRR9845429,L7-0601,MD-SERC-3,Listeria,strictu,L. monocytogenes,96,16,2902713,38.08,484403,163.244,PRJNA514286,AAJADI000000000,L1,MD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,SRR10019219,L7-0602,MD-SERC-3,Listeria,strictu,L. monocytogenes,57,19,2888754,37.87,432233,33.7016,PRJNA561882,VTIR00000000,L2,MD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,SRR11344135,L7-0605,MD-SERC-3,Listeria,lato,L. booriae,S5039,28,3472877,42.02,280447,143.676,PRJNA561882,JAASVU000000000,L12,MD,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
188,SRR9845430,L7-0609,MD-SERC-4,Listeria,strictu,L. monocytogenes,57,18,2888309,37.87,432235,171.111,PRJNA514286,AAJADH000000000,L2,MD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,SRR11344134,L7-0617,MD-SERC-5,Listeria,strictu,L. seeligeri,7,57,2780562,37.4,95341,40.2617,PRJNA561882,JAASVT000000000,L10,MD,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
190,SRR10019220,L7-0623,IN-RH-1,Listeria,strictu,L. monocytogenes,62,17,2908523,38.0,508587,45.2137,PRJNA561882,VTIQ00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,SRR10019221,L7-0624,IN-RH-1,Listeria,strictu,L. monocytogenes,80,15,2877931,38.05,549936,61.6152,PRJNA561882,VTIP00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,SRR10019254,L7-0625,IN-RH-1,Listeria,strictu,L. monocytogenes,234,15,2903460,38.0,514990,45.7647,PRJNA561882,VTIO00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,SRR10019252,L7-0626,IN-RH-1,Listeria,strictu,L. monocytogenes,235,17,2885257,38.17,539205,65.9751,PRJNA561882,VTIN00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,SRR10019222,L7-0627,IN-RH-1,Listeria,strictu,L. monocytogenes,236,18,2894325,37.96,482169,36.831,PRJNA561882,VTIM00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,SRR10019223,L7-0629,IN-RH-1,Listeria,strictu,L. monocytogenes,192,16,2838182,38.07,497471,66.5512,PRJNA561882,VTIL00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,SRR10019224,L7-0631,IN-RH-2,Listeria,strictu,L. monocytogenes,235,54,2964190,38.04,543297,56.0015,PRJNA561882,VTIK00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,SRR10019251,L7-0633,IN-RH-2,Listeria,strictu,L. monocytogenes,62,15,2889907,38.02,473556,31.296,PRJNA561882,VTIJ00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
198,SRR10019250,L7-0635,IN-RH-2,Listeria,strictu,L. monocytogenes,195,14,2842192,38.1,466968,40.0747,PRJNA561882,VTII00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,SRR10019225,L7-0639,IN-RH-3,Listeria,strictu,L. monocytogenes,100,18,2863959,38.05,341202,32.4753,PRJNA561882,VTIH00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,SRR10019226,L7-0640,IN-RH-3,Listeria,strictu,L. monocytogenes,82,14,2904162,38.01,501155,41.9693,PRJNA561882,VTIG00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,SRR10019227,L7-0641,IN-RH-3,Listeria,strictu,L. monocytogenes,90,20,2979849,37.93,440171,39.0111,PRJNA561882,VTIF00000000,L1,IN,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,SRR10019249,L7-0647,IN-RH-4,Listeria,strictu,L. monocytogenes,100,16,2859697,38.06,497078,35.9394,PRJNA561882,VTIE00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,SRR9845427,L7-0648,IN-RH-4,Listeria,strictu,L. monocytogenes,104,10,2913968,37.94,1469697,188.921,PRJNA514286,AAJADF000000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
204,SRR10019247,L7-0649,IN-RH-4,Listeria,strictu,L. monocytogenes,62,16,2920622,38.03,500234,40.9535,PRJNA561882,VTID00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
205,SRR10019246,L7-0653,IN-RH-4,Listeria,strictu,L. monocytogenes,237,19,2866764,38.06,603304,61.9833,PRJNA561882,VTIC00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,SRR10019245,L7-0655,IN-RH-5,Listeria,strictu,L. monocytogenes,104,11,2857037,38.07,540509,65.8609,PRJNA561882,VTIB00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
207,SRR10019244,L7-0661,IN-EC-1,Listeria,strictu,L. monocytogenes,192,14,2818438,38.21,525069,68.6473,PRJNA561882,VTIA00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,SRR10019243,L7-0662,IN-EC-1,Listeria,strictu,L. monocytogenes,238,14,2870493,38.1,529101,156.568,PRJNA561882,VTHZ00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,SRR10019242,L7-0666,IN-EC-1,Listeria,strictu,L. monocytogenes,80,15,2835888,38.1,1432886,54.8322,PRJNA561882,VTHY00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,SRR10019241,L7-0669,IN-EC-2,Listeria,strictu,L. monocytogenes,192,13,2863832,38.09,1474374,38.5571,PRJNA561882,VTHX00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,SRR10019240,L7-0672,IN-EC-2,Listeria,strictu,L. monocytogenes,80,13,2984664,37.94,1529410,81.1121,PRJNA561882,VTHW00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,SRR10019239,L7-0677,IN-EC-3,Listeria,strictu,L. monocytogenes,62,15,2874504,38.05,521978,37.8081,PRJNA561882,VTHV00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,SRR10019238,L7-0678,IN-EC-3,Listeria,strictu,L. monocytogenes,239,12,2849605,38.08,501247,46.1455,PRJNA561882,VTHU00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,SRR11344133,L7-0679,IN-EC-3,Listeria,strictu,L. seeligeri,122,51,2908897,37.21,310980,44.6597,PRJNA561882,JAASVS000000000,L9,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
215,SRR10019236,L7-0680,IN-EC-3,Listeria,strictu,L. monocytogenes,240,16,2940154,38.03,477070,56.5906,PRJNA561882,VTHT00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,SRR11344132,L7-0681,IN-EC-3,Listeria,strictu,L. seeligeri,12,44,2862885,37.2,119837,32.9047,PRJNA561882,JAARWP000000000,L9,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
217,SRR10019235,L7-0683,IN-EC-3,Listeria,strictu,L. monocytogenes,100,11,2852617,38.09,480487,123.119,PRJNA561882,VTHS00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,SRR10019234,L7-0685,IN-EC-5,Listeria,strictu,L. monocytogenes,82,15,2845090,38.14,484184,69.7368,PRJNA561882,VTHR00000000,L1,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,SRR11344131,L7-0693,MN-BR-1,Listeria,strictu,L. welshimeri,16,19,2835607,36.23,389828,51.2908,PRJNA561882,JAASVR000000000,L8,MN,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
